Time_Stamp,NB1300Vibracion1,NB1300Vibracion2,NB1300Vibracion3,NB1300Vibracion4,NB1300Vibracion5,NB1300Vibracion6,NB1300tPrec,NB1300tGener,NB1300tCuarto,NB1300tBloque,NB1300tAmbien,NB1300hCuarto
7/27/2022 16:21,2.7,4.7,5.5,4.8,5.1,4.7,48,42,25,44,23,30
7/27/2022 16:22,2.4,3.4,4,3.9,3.8,3.9,48,42,26,44,24,30
7/27/2022 16:23,2.7,3.7,4.1,4,3.8,4,44,37,26,41,21,31
7/27/2022 16:24,2.5,3.5,4.2,3.5,4.5,4.2,42,36,26,38,18,32
7/27/2022 16:25,2.7,3.7,4.3,4.7,3.8,4.6,41,35,26,36,17,34
7/27/2022 16:26,2.2,3.2,3.6,3.2,3.4,3.5,40,35,26,35,16,33
7/27/2022 16:27,2.7,3.7,4.4,4.5,4.1,3.7,39,35,26,35,16,34
7/27/2022 16:28,2.4,3.4,4.2,4,3.7,3.5,39,34,26,34,16,34
7/27/2022 16:29,2.9,3.9,4.4,4.9,4.9,3.9,39,35,26,35,16,34
7/27/2022 16:30,2.5,3.5,4.3,3.8,3.6,4.2,41,37,26,37,18,33
7/27/2022 16:31,2.6,3.6,4.6,4,4.5,4.6,42,38,26,39,19,32
7/27/2022 16:32,2.2,3.2,3.4,3.6,4,3.9,42,39,26,40,21,31
7/27/2022 16:33,2.3,3.3,3.9,4.1,3.6,3.8,43,38,26,41,22,30
7/27/2022 16:34,2.2,3.2,3.4,4.1,3.2,3.4,43,39,25,41,23,30
7/27/2022 16:35,2.8,3.8,4.8,4.3,4.8,4.1,43,39,25,41,23,30
7/27/2022 16:36,2.9,3.9,4.8,4.5,4.7,4.5,44,39,26,42,23,30
7/27/2022 16:37,2.4,3.4,4.2,4.3,3.5,4.1,44,39,25,42,23,29
7/27/2022 16:38,2.3,3.3,3.3,3.6,3.3,3.6,45,40,25,42,24,29
7/27/2022 16:39,2.7,3.7,4,4.2,4.3,4.4,45,40,25,43,23,29
7/27/2022 16:40,2.1,3.1,3.9,3.4,3.4,4,46,40,25,43,24,30
7/27/2022 16:41,2.8,3.8,4.2,4.4,4.5,4.2,46,40,25,43,24,30
7/27/2022 16:42,2.1,4.1,5,4.5,4.9,5,46,41,25,43,24,29
7/27/2022 16:43,2.8,3.8,4.6,4.5,3.8,4.5,47,41,25,44,24,29
7/27/2022 16:44,2.3,3.3,3.8,3.8,4.1,3.9,47,41,25,44,24,30
7/27/2022 16:45,2.1,4.1,4.1,4.9,4.1,4.6,47,41,25,44,25,30
7/27/2022 16:46,3,4,4.8,4.5,4.8,5,47,41,25,44,25,29
7/27/2022 16:47,2.6,3.6,4.2,3.7,4.6,3.6,45,37,25,41,22,30
7/27/2022 16:48,2.8,3.8,4.4,4,4.3,4.4,43,36,25,38,19,32
7/27/2022 16:49,2.1,3.1,3.2,3.8,3.8,3.4,42,35,25,37,18,33
7/27/2022 16:50,2.7,3.7,4.4,4.4,3.9,4.2,42,35,25,36,17,34
7/27/2022 16:51,2.5,3.5,4.1,4.2,3.7,4,41,34,25,35,16,34
7/27/2022 16:52,2.1,3.1,4.1,3.6,3.6,3.1,41,34,25,35,16,34
7/27/2022 16:53,2,3,3.2,3.5,4,3.9,41,34,25,35,16,34
7/27/2022 16:54,2.2,3.2,3.6,3.9,3.3,3.4,44,37,25,37,17,34
7/27/2022 16:55,2,3,3.2,3,3.4,3.6,45,38,25,39,19,32
7/27/2022 16:56,2.8,3.8,4.5,4.6,4.1,4.4,45,39,25,41,20,32
7/27/2022 16:57,3,4,4.2,4.8,4.3,5,46,39,25,42,21,31
7/27/2022 16:58,3,4,4.1,4.2,4.5,4.6,46,39,25,42,22,31
7/27/2022 16:59,2.9,3.9,4.1,4.6,4,4.4,45,39,25,43,23,30
7/27/2022 17:00,2.6,3.6,3.7,4.1,3.9,4.5,45,40,25,43,23,30
7/27/2022 17:01,2.4,3.4,3.5,4,3.7,4.2,45,40,25,43,24,30
7/27/2022 17:02,3,4,4.9,4.3,4.1,4.5,45,40,25,43,24,30
7/27/2022 17:03,2.4,4.4,4.9,4.8,5.1,5.4,45,40,25,44,25,30
7/27/2022 17:04,3,4,4.7,4.1,4.9,4.1,45,41,25,44,24,30
7/27/2022 17:05,2.5,3.5,3.8,3.6,3.8,4.1,44,41,25,44,24,30
7/27/2022 17:06,2.8,3.8,4.8,4.5,4.6,4.2,44,41,25,44,24,30
7/27/2022 17:07,2.6,3.6,3.9,4,4,4.3,44,41,25,44,25,30
7/27/2022 17:08,2.5,3.5,4.3,3.6,4.3,3.8,44,40,25,44,25,30
7/27/2022 17:09,2.5,3.5,4.3,4.1,3.7,4.1,44,41,25,44,25,30
7/27/2022 17:10,2.9,4.9,5.4,5.2,5.8,5,43,39,25,43,24,30
7/27/2022 17:11,2.2,3.2,3.8,3.9,4.2,3.3,41,36,25,39,21,32
7/27/2022 17:12,2.4,3.4,4.2,3.6,4.1,4.2,40,35,25,37,18,33
7/27/2022 17:13,2.4,3.4,3.4,4.3,4,4.2,39,35,25,35,17,34
7/27/2022 17:14,2,3,3.3,3.9,3.9,3.9,39,35,25,35,17,35
7/27/2022 17:15,2.8,3.8,4.5,4.2,4.8,4.4,39,34,25,34,17,35
7/27/2022 17:16,2.2,3.2,3.9,4,4,3.7,39,34,25,34,17,35
7/27/2022 17:17,2.7,3.7,4,3.7,4.7,3.9,40,35,25,35,17,36
7/27/2022 17:18,3,4,4.6,4.9,4.2,5,43,38,25,37,18,34
7/27/2022 17:19,2.8,3.8,4.4,4.4,4.3,4.2,44,39,25,39,20,33
7/27/2022 17:20,2.3,3.3,4.3,3.4,4.2,3.4,45,39,25,40,21,32
7/27/2022 17:21,2.4,3.4,3.4,3.8,4,3.7,46,40,25,41,22,32
7/27/2022 17:22,2.6,2.6,2.9,2.8,2.9,3.5,46,40,25,41,22,31
7/27/2022 17:23,2.4,3.4,3.8,3.4,3.6,3.4,47,40,25,42,22,31
7/27/2022 17:24,2.9,3.9,4.7,4.3,4.6,4.3,47,41,25,43,22,31
7/27/2022 17:25,2.2,3.2,3.5,3.5,3.2,4,47,41,25,43,23,31
7/27/2022 17:26,2.4,3.4,3.4,3.9,4,4.4,48,41,25,43,23,31
7/27/2022 17:27,2.4,3.4,4.3,3.9,3.8,4.4,48,41,25,44,23,31
7/27/2022 17:28,2.3,3.3,4.2,4,4.3,3.9,48,42,25,44,23,31
7/27/2022 17:29,2.7,3.7,4.3,3.7,3.7,4.5,47,42,25,44,23,30
7/27/2022 17:30,3,4,4.2,4,4.5,4.5,47,42,25,45,23,31
7/27/2022 17:31,2.5,3.5,3.9,3.9,4.5,4.1,47,42,25,45,23,31
7/27/2022 17:32,2.1,3.1,4.1,3.7,4,3.1,46,42,25,45,23,31
7/27/2022 17:33,2.8,3.8,4,4.7,3.8,4,44,37,25,42,22,31
7/27/2022 17:34,2.8,3.8,4.3,4,4.5,3.8,41,36,25,39,20,33
7/27/2022 17:35,2.1,3.1,3.9,3.5,3.1,3.8,40,36,25,37,18,35
7/27/2022 17:36,2.6,3.6,4,4.1,4.5,4.6,39,35,25,36,17,34
7/27/2022 17:37,3,4,4.6,4.2,4.1,4.6,39,35,25,35,17,35
7/27/2022 17:38,2.3,3.3,3.3,4.1,4.3,3.9,38,35,25,35,17,34
7/27/2022 17:39,2.4,3.4,3.5,4.3,3.8,3.5,38,34,25,34,16,35
7/27/2022 17:40,2,3,3.9,3.4,3.4,4,39,37,25,36,17,35
7/27/2022 17:41,2.4,3.4,3.9,3.8,4.4,4.2,41,38,25,38,19,34
7/27/2022 17:42,2.3,3.3,3.6,4.2,3.7,3.9,42,39,25,39,20,32
7/27/2022 17:43,2.3,3.3,3.9,3.3,4.2,3.8,43,39,25,40,21,32
7/27/2022 17:44,2.5,3.5,4.2,3.8,3.6,3.9,44,40,25,41,21,31
7/27/2022 17:45,2.8,3.8,4.4,4.2,3.8,4.6,45,40,25,41,22,31
7/27/2022 17:46,2.6,3.6,4.5,4.2,3.9,4,45,40,25,42,22,31
7/27/2022 17:47,3,4,4.2,4.7,4,4.3,46,41,25,42,22,31
7/27/2022 17:48,2.2,3.2,4,3.9,3.3,3.6,46,41,25,42,22,31
7/27/2022 17:49,2.7,3.7,3.9,4,4.5,4,46,41,25,43,22,31
7/27/2022 17:50,2.2,3.2,4,3.5,3.3,3.9,47,41,25,43,22,31
7/27/2022 17:51,2.4,3.4,4.1,4.3,3.6,4.2,47,41,25,43,22,31
7/27/2022 17:52,2.8,3.8,4,4.7,4.3,4.5,47,42,25,44,23,31
7/27/2022 17:53,2.8,3.8,4.7,4.4,4,3.8,47,42,25,44,23,31
7/27/2022 17:54,3,4,4.4,4.5,4.6,4.8,47,42,25,44,23,31
7/27/2022 17:55,2.4,3.4,3.9,4.3,4.1,3.4,44,37,25,40,21,32
7/27/2022 17:56,2.6,3.6,4.3,4.4,3.9,3.9,43,36,25,38,18,33
7/27/2022 17:57,2.2,3.2,3.8,3.5,4,3.8,42,35,25,37,17,34
7/27/2022 17:58,2.4,3.4,4.4,4.1,3.4,3.4,42,35,25,36,17,34
7/27/2022 17:59,2.6,3.6,3.7,3.7,3.9,4.5,41,34,25,35,16,35
7/27/2022 18:00,2.2,3.2,4,4,3.4,3.8,40,34,25,35,16,35
7/27/2022 18:01,2.6,3.6,4.2,3.7,3.6,3.9,40,34,25,35,16,35
7/27/2022 18:02,2.1,3.1,3.7,3.6,3.3,3.7,42,37,25,37,18,34
7/27/2022 18:03,2.1,3.1,3.5,3.9,3.6,3.3,43,39,25,39,19,33
7/27/2022 18:04,2,3,3.9,3,3.8,3.5,44,39,25,41,20,32
7/27/2022 18:05,2,3,3.3,3.2,3.8,4,44,39,24,41,21,31
7/27/2022 18:06,2.1,3.1,3.4,3.2,3.2,3.3,44,40,25,42,21,31
7/27/2022 18:07,2.5,3.5,4.3,3.5,3.7,3.5,44,40,25,42,22,31
7/27/2022 18:08,2.8,3.8,4.3,3.9,4.4,4,44,40,25,43,22,31
7/27/2022 18:09,2.8,3.8,3.9,4,4.7,4.5,44,41,25,43,22,31
7/27/2022 18:10,2.4,3.4,3.5,3.7,3.9,4,44,41,25,43,22,31
7/27/2022 18:11,2.2,4.2,5,5,4.7,5.2,44,41,25,43,22,30
7/27/2022 18:12,2,3,3.8,3.1,3.4,3.3,44,41,25,43,23,31
7/27/2022 18:13,2.5,3.5,3.9,3.9,4.5,4.2,44,41,25,43,23,31
7/27/2022 18:14,2.3,3.3,3.4,4.3,4.2,3.5,44,41,24,43,23,30
7/27/2022 18:15,2.9,3.9,4.8,4.7,4.6,4,45,42,24,43,23,30
7/27/2022 18:16,2.6,3.6,3.6,3.9,3.6,4.5,45,42,25,44,23,30
7/27/2022 18:17,2.3,3.3,3.8,3.5,4.2,3.5,45,40,24,43,23,30
7/27/2022 18:18,2.2,3.2,3.5,4.1,3.4,3.4,42,37,24,39,20,32
7/27/2022 18:19,2,3,3.7,3,3.4,3.3,41,36,24,37,18,33
7/27/2022 18:20,3,4,4.4,4.1,4.1,4.3,40,35,24,36,17,34
7/27/2022 18:21,2.8,3.8,4,4.4,3.9,4.4,40,35,25,35,17,34
7/27/2022 18:22,2.2,3.2,3.2,3.4,3.8,3.7,40,34,24,35,17,35
7/27/2022 18:23,2.9,3.9,4,4.5,4.3,4.8,40,34,24,35,16,35
7/27/2022 18:24,2.4,3.4,4,4.1,3.8,3.8,41,35,24,35,16,34
7/27/2022 18:25,2,3,3.4,3.8,3.2,3.6,43,38,24,37,18,33
7/27/2022 18:26,2.8,3.8,3.8,4.4,3.8,4.4,45,39,24,39,20,32
7/27/2022 18:27,2.5,3.5,3.5,3.9,4.1,4.1,46,39,25,40,20,31
7/27/2022 18:28,2.5,3.5,4.1,4.4,3.5,4.1,47,39,24,41,21,31
7/27/2022 18:29,2.4,3.4,4,4.3,4.1,4.1,47,40,24,42,21,31
7/27/2022 18:30,3.4,3.4,3.5,3.7,4.4,3.9,47,40,24,43,22,31
7/27/2022 18:31,2.8,3.8,4.7,3.8,4.5,4.8,47,40,24,43,22,31
7/27/2022 18:32,3,4,4.6,4.6,4.2,4.2,47,40,24,43,22,31
7/27/2022 18:33,2,3,3.2,3.5,4,3.6,47,41,24,44,22,30
7/27/2022 18:34,2.2,3.2,3.5,3.2,3.4,3.7,46,41,24,44,23,30
7/27/2022 18:35,3,4,4.8,4.2,4.1,4.3,46,41,24,44,23,30
7/27/2022 18:36,2.9,3.9,3.9,4.1,4.9,4,46,41,24,44,23,30
7/27/2022 18:37,2,4,4.2,4.1,4.3,4.5,46,42,24,44,23,30
7/27/2022 18:38,2.8,3.8,4.2,4,4.5,4,44,39,24,44,22,30
7/27/2022 18:39,2.9,3.9,4,4.7,4.9,4.8,41,36,24,39,20,33
7/27/2022 18:40,2.4,3.4,4.4,3.4,3.9,4,40,36,24,37,18,33
7/27/2022 18:41,2.8,3.8,4.3,4.5,4.7,4.5,39,35,24,36,17,34
7/27/2022 18:42,2.6,3.6,3.9,3.9,4.3,3.8,38,34,24,35,16,34
7/27/2022 18:43,2.6,3.6,3.7,4.4,4.6,4.2,38,34,24,35,16,34
7/27/2022 18:44,2,3,3.4,3.6,3,3.7,38,34,24,34,16,34
7/27/2022 18:45,2.6,3.6,4.3,4.1,3.7,3.7,39,35,24,35,16,34
7/27/2022 18:46,2.5,3.5,3.9,4.2,3.5,3.7,41,38,24,37,18,33
7/27/2022 18:47,2.3,3.3,3.9,3.7,3.4,4.2,43,39,24,39,20,32
7/27/2022 18:48,2.7,3.7,3.8,4.6,4.4,4.3,44,39,24,40,20,31
7/27/2022 18:49,2.7,3.7,4,4.2,4.7,4.3,44,39,24,40,21,31
7/27/2022 18:50,2.7,3.7,4.1,4.1,3.8,4,45,39,24,41,21,31
7/27/2022 18:51,2.8,3.8,4.8,4.7,4,4.6,46,40,24,42,22,31
7/27/2022 18:52,3,4,4.9,4.9,4.6,4.2,46,40,24,42,22,30
7/27/2022 18:53,3,4,4.1,4.7,4.8,4.6,46,40,24,42,22,30
7/27/2022 18:54,2.2,3.2,3.6,3.7,3.7,3.6,47,41,24,43,22,30
7/27/2022 18:55,3,4,4.9,4.6,4.6,4.5,47,41,24,43,22,30
7/27/2022 18:56,2,3,3.7,3,3.2,3.3,47,41,24,44,23,31
7/27/2022 18:57,2.6,3.6,4.5,4.4,4.1,4.5,47,41,24,44,23,30
7/27/2022 18:58,2.2,3.2,3.4,3.7,4,4.1,47,41,24,44,23,30
7/27/2022 18:59,2.8,3.8,4.2,4.5,4.5,4.6,47,39,24,43,22,31
7/27/2022 19:00,2.3,3.3,3.5,3.7,3.4,3.3,44,36,24,39,20,32
7/27/2022 19:01,2.2,3.2,3.7,3.6,4.1,3.2,42,36,24,37,18,34
7/27/2022 19:02,3,4,4.9,4.6,4.7,4,41,35,24,36,17,34
7/27/2022 19:03,2.6,3.6,3.7,4.6,3.7,4.6,40,34,24,36,17,35
7/27/2022 19:04,2.4,3.4,3.9,3.7,3.5,4.4,40,34,24,35,16,35
7/27/2022 19:05,3,4,4.9,4.9,4.6,4.9,39,34,24,35,16,35
7/27/2022 19:06,2.3,3.3,4.3,3.3,4.3,4.2,40,35,24,36,16,35
7/27/2022 19:07,2,3,3,3.7,3.7,3.5,42,37,24,38,18,33
7/27/2022 19:08,2.7,3.7,3.8,4.3,4,4.3,43,38,24,39,20,32
7/27/2022 19:09,2.3,3.3,3.5,4.2,3.9,4.2,43,39,24,40,20,32
7/27/2022 19:10,2.1,3.1,4,3.3,3.3,4.1,44,39,24,41,21,31
7/27/2022 19:11,2.1,3.1,3.4,3.8,3.6,3.6,43,40,24,42,21,31
7/27/2022 19:12,2,3,3.6,3,3.5,3.8,43,40,24,42,21,31
7/27/2022 19:13,2.4,3.4,4.3,3.5,3.7,3.6,43,40,24,42,22,31
7/27/2022 19:14,2.8,3.8,3.9,4.6,3.8,3.9,43,40,24,43,22,30
7/27/2022 19:15,2.8,3.8,4.5,4.6,4.6,4.1,44,40,24,43,22,30
7/27/2022 19:16,2.8,3.8,3.9,4.4,4.7,4.2,44,41,24,43,22,30
7/27/2022 19:17,2.7,3.7,4.3,4.1,4.7,3.9,44,41,24,43,22,30
7/27/2022 19:18,3,4,4.7,4.7,5,5,45,41,24,43,23,30
7/27/2022 19:19,2.4,3.4,3.7,3.6,4.3,3.6,45,41,24,43,23,30
7/27/2022 19:20,2.9,3.9,4.4,4.7,4,4.3,46,41,24,43,24,30
7/27/2022 19:21,2.1,3.1,3.5,3.5,4.1,3.2,46,41,24,44,23,30
7/27/2022 19:22,2.8,3.8,3.9,4,4.4,3.9,46,42,24,44,23,30
7/27/2022 19:23,2.1,4.1,4.3,4.8,4.4,4.7,46,39,24,43,23,30
7/27/2022 19:24,2.5,3.5,4,4.5,4.2,4.4,43,36,24,39,20,32
7/27/2022 19:25,2.5,3.5,4.2,3.5,3.6,4.2,43,36,24,39,19,32
7/27/2022 19:26,2.8,3.8,4.5,4.6,4,4.3,43,36,24,39,19,32
7/27/2022 19:27,2.8,3.8,4,4.4,4.1,4.4,43,36,24,39,19,32
7/27/2022 19:28,2.5,3.5,3.6,3.7,4.1,4,43,36,24,39,19,32
7/27/2022 19:29,2.8,3.8,4.1,4.4,4,4.3,43,36,24,39,19,32
7/27/2022 19:30,2.9,3.9,4,4.1,4.6,4.6,43,36,24,39,19,32
7/27/2022 19:31,2.6,3.6,3.7,4.5,4,3.8,43,36,24,39,19,32
7/27/2022 19:32,2.9,3.9,4.7,4.3,4.9,4.2,43,36,24,39,19,32
7/27/2022 19:33,2.3,3.3,3.7,3.7,3.8,3.9,43,36,24,39,19,32
7/27/2022 19:34,2.5,3.5,3.5,4.3,3.9,3.9,43,36,24,39,19,32
7/27/2022 19:35,2,3,3.2,3.4,3.8,3.4,43,36,24,39,19,32
7/27/2022 19:36,2.6,3.6,4.6,4.3,4,3.9,46,40,24,43,22,31
7/27/2022 19:37,2.4,3.4,4.4,4.2,3.5,3.7,46,40,24,43,22,30
7/27/2022 19:38,2.7,3.7,4.4,4.6,4,4.1,46,40,24,44,22,31
7/27/2022 19:39,2.2,3.2,4,4.2,3.2,3.2,46,41,24,44,22,31
7/27/2022 19:40,2.1,4.1,4.8,4.7,5,4.6,45,41,24,44,22,31
7/27/2022 19:41,2.4,3.4,3.4,4,3.9,3.9,45,41,24,44,23,30
7/27/2022 19:42,2.2,3.2,3.2,3.4,3.7,3.9,45,41,24,44,23,30
7/27/2022 19:43,2.6,3.6,3.8,3.6,4.5,4.4,45,42,24,44,23,31
7/27/2022 19:44,2.5,3.5,3.9,4.1,4,3.5,43,38,24,43,22,31
7/27/2022 19:45,2.5,3.5,3.6,4.4,4,4.5,42,37,24,42,21,31
7/27/2022 19:46,2.1,3.1,3.3,3.2,3.4,4,39,35,24,37,18,34
7/27/2022 19:47,2.7,3.7,4.2,4.3,4.5,3.9,39,35,24,36,17,34
7/27/2022 19:48,2.4,3.4,4.3,3.5,4.2,4.3,38,35,24,35,17,34
7/27/2022 19:49,2.4,3.4,3.6,3.5,3.4,3.9,38,34,24,35,16,34
7/27/2022 19:50,2.7,3.7,4.1,4.4,4.6,4,38,34,24,34,16,35
7/27/2022 19:51,2.6,3.6,4.4,4.3,4.1,3.7,40,36,24,36,17,35
7/27/2022 19:52,2.4,3.4,4.2,4.3,3.6,3.7,42,38,24,37,19,33
7/27/2022 19:53,2.2,3.2,4.2,3.4,3.2,4.1,44,39,24,39,20,32
7/27/2022 19:54,2,3,3.7,3.7,3.7,3.3,44,39,24,40,20,32
7/27/2022 19:55,2.1,3.1,3.1,3.3,3.9,3.6,44,39,24,40,20,32
7/27/2022 19:56,2.4,3.4,4.1,4.4,3.7,3.7,44,39,24,40,20,32
7/27/2022 19:57,2.9,3.9,4.2,4.2,4.9,4.1,46,40,24,42,22,31
7/27/2022 19:58,2.1,3.1,3.4,4,4.1,3.1,46,40,24,42,22,31
7/27/2022 19:59,2.5,3.5,3.8,3.9,3.7,3.7,47,40,24,42,22,31
7/27/2022 20:00,2.4,3.4,3.5,4.1,4.3,4.1,47,41,24,43,23,31
7/27/2022 20:01,3,4,4.9,4.5,4.3,4.5,47,41,24,43,23,30
7/27/2022 20:02,2.7,3.7,4.5,4.2,4.5,4,47,41,24,43,23,30
7/27/2022 20:03,2.1,3.1,4.1,3.6,3.9,3.3,48,41,24,44,23,31
7/27/2022 20:04,2.2,3.2,4.1,3.9,3.7,3.7,48,41,24,44,23,30
7/27/2022 20:05,2.8,3.8,4.4,3.9,3.8,4.2,48,41,24,44,24,30
7/27/2022 20:06,2.4,3.4,4.1,4.2,3.5,3.7,48,41,24,44,24,30
7/27/2022 20:07,2.3,3.3,3.5,3.3,3.9,3.5,43,36,24,39,20,32
7/27/2022 20:08,2.3,3.3,3.5,3.3,3.9,3.6,43,36,24,39,20,32
7/27/2022 20:09,2.4,3.4,4.1,4,3.7,4.4,40,35,24,36,17,34
7/27/2022 20:10,2.6,3.6,3.6,3.6,4.2,4.6,39,34,24,35,16,35
7/27/2022 20:11,2.1,3.1,3.3,4,3.3,3.6,39,34,24,34,16,34
7/27/2022 20:12,2.7,3.7,3.7,4.5,4.4,4.1,38,34,24,34,15,35
7/27/2022 20:13,2.7,3.7,4,4,4.4,3.8,40,37,24,36,17,34
7/27/2022 20:14,2.2,3.2,4,4,4.2,3.6,42,38,24,38,19,33
7/27/2022 20:15,2.7,3.7,4.3,3.8,4.1,4.7,42,38,24,39,21,32
7/27/2022 20:16,2.9,3.9,4.6,4.5,4.6,3.9,42,39,24,40,22,31
7/27/2022 20:17,2.2,3.2,3.7,3.8,4.2,4.2,43,39,24,41,22,31
7/27/2022 20:18,2.3,3.3,3.4,3.9,3.4,4,43,39,24,41,23,31
7/27/2022 20:19,2,3,4,3.8,4,3.4,44,40,24,42,23,31
7/27/2022 20:20,2.5,3.5,3.9,4.1,3.7,4,44,40,24,42,23,31
7/27/2022 20:21,2.8,3.8,4.4,4.2,4.3,4.4,45,40,24,42,24,31
7/27/2022 20:22,2.5,3.5,4.3,3.9,3.6,3.7,45,40,23,42,24,31
7/27/2022 20:23,3.6,3.6,4.2,3.7,3.9,4.2,46,40,24,43,24,31
7/27/2022 20:24,2.1,4.1,4.5,4.1,4.2,4.4,46,41,23,43,24,31
7/27/2022 20:25,2.8,3.8,4.6,4.6,4.7,3.8,46,41,23,43,24,31
7/27/2022 20:26,3.5,4.5,5.3,5.4,4.6,5.5,46,41,23,43,24,31
7/27/2022 20:27,3.9,3.9,4,3.9,4.2,4.6,47,41,23,44,24,31
7/27/2022 20:28,2,3,3.5,4,3.8,4,47,40,24,44,24,31
7/27/2022 20:29,2.5,3.5,4.1,4.5,3.6,4.4,44,36,23,40,20,32
7/27/2022 20:30,3,3,3.4,3.5,3.8,3.3,42,35,23,37,18,34
7/27/2022 20:31,2.3,3.3,3.4,3.5,3.5,3.3,41,35,23,36,17,35
7/27/2022 20:32,2,3,3.8,3.7,3.2,3.8,41,34,24,36,17,35
7/27/2022 20:33,2,3,3.7,3.2,3.5,3.6,41,34,23,35,16,35
7/27/2022 20:34,2.8,3.8,3.8,4.1,4.7,4.1,41,34,23,35,16,36
7/27/2022 20:35,2.9,3.9,4.5,4.3,4.2,4.4,42,35,23,36,17,36
7/27/2022 20:36,2.5,3.5,4.4,3.7,4.1,3.7,44,37,23,38,19,34
7/27/2022 20:37,2.2,3.2,4.2,3.8,3.3,3.9,45,38,24,40,20,33
7/27/2022 20:38,2.6,3.6,4.2,4.4,4.4,4.1,46,39,24,41,21,32
